
20240203135038,0;0;0;0;0;0,-0.0007288597;0.2055095;-0.7143274;0.003160615;-1.29784;-0.004509289,50;49;48;43;44;28;31;27;38,11.9;11.848;11.772;11.3;11.2;4.8;4.793;4.8;11.708
20240203135039,0;0;0;0;0;0,-0.0007288597;0.2055095;-0.7143274;0.003160615;-1.29784;-0.004509289,50;49;48;43;44;28;31;27;38,11.9;11.848;11.772;11.3;11.2;4.8;4.793;4.8;11.708
20240203135039,0;0;0;0;0;0,0.003836922;-0.0005231537;-0.006847704;-0.06433454;-0.7624811;-0.2499462,50;49;49;43;45;28;31;27;42,11.928;11.872;11.812;11.3;11.2;4.9;4.908;4.9;11.776
20240203135040,0;0;0;0;0;0,0.003836922;-0.0005231537;-0.006847704;-0.06433454;-0.7578791;-0.2499462,51;49;49;43;46;28;31;27;44,11.912;11.868;11.804;11.3;11.2;4.9;4.862;4.8;11.768
20240203135040,0;0;0;0;0;0,-0.0007288597;0.3009511;-1.300611;0.003160615;-0.001626634;0.003160615,53;50;50;44;45;28;31;27,11.948;11.884;11.816;11.3;11.2;4.8;4.842;4.8
20240203135041,0;0;0;0;0;0,-0.0007288597;0.3009511;-1.300611;0.003160615;-0.001626634;0.003160615,53;50;50;44;45;28;31;27,11.948;11.884;11.816;11.3;11.2;4.8;4.842;4.8
20240203135041,0;0;0;0;0;0,0.0007930673;0.2994361;-1.300611;9.265359E-05;0.001441327;0.003160615,54;50;50;45;46;28;31;27,11.964;11.912;11.848;11.3;11.3;4.9;4.862;4.8
20240203135042,0;0;0;0;0;0,0.1103718;-0.117174;-0.6840284;0.01850042;-0.2194519;0.04151013,57;53;52;48;47;29;32;28,11.964;11.916;11.844;11.3;11.3;4.9;4.88;4.9
20240203135042,0;0;0;0;0;0,0.1103718;-0.117174;-0.6840284;0.01850042;-0.2194519;0.04151013,57;53;52;48;47;29;32;28,11.964;11.916;11.844;11.3;11.3;4.9;4.88;4.9
20240203135043,0;0;0;0;0;0,0.2366918;-0.6837637;0.1491917;0.05531596;-0.4710248;0.0921315,57;53;52;48;47;29;32;28,11.948;11.896;11.776;11.3;11.2;4.8;4.89;4.8
20240203135043,0;0;0;0;0;0,0.2366918;-0.6837637;0.1491917;0.05531596;-0.4710248;0.0921315,57;53;52;48;47;29;32;28,11.948;11.896;11.776;11.3;11.2;4.8;4.89;4.8
20240203135044,0;0;0;0;0;0,0.2397356;-0.7292121;0.2143344;0.0599179;-0.4817626;0.09519947,57;53;52;48;47;29;32;28,11.96;11.912;11.804;11.3;11.2;4.9;4.895;4.8
20240203135044,0;0;0;0;0;0,0.2397356;-0.7292121;0.2143344;0.0599179;-0.4817626;0.09519947,57;53;52;48;47;29;32;28,11.96;11.912;11.804;11.3;11.2;4.9;4.895;4.8
20240203135045,0;0;0;0;0;0,0.1225472;-0.2853329;-0.4401222;0.04151013;-0.2439956;0.052248,57;53;52;48;47;29;32;28,11.96;11.912;11.804;11.3;11.2;4.9;4.895;4.8
20240203135045,0;0;0;0;0;0,0.04340703;0.050985;-0.9370244;0.01696644;-0.0844616;0.02156838,57;53;52;48;47;29;32;28,11.948;11.88;11.772;11.3;11.2;4.9;4.864;4.8
20240203135046,0;0;0;0;0;0,0.04340703;0.050985;-0.9370244;0.01696644;-0.0844616;0.02156838,57;53;52;48;47;29;32;28,11.948;11.88;11.772;11.3;11.2;4.9;4.864;4.8
20240203135046,0;0;0;0;0;0,0.0007930673;0.2994361;-1.299096;0.003160615;-0.001626634;0.003160615,57;53;52;48;47;29;32;28,11.948;11.88;11.772;11.3;11.2;4.9;4.864;4.8
20240203135047,0;0;0;0;0;0,0.0007930673;0.2994361;-1.299096;0.003160615;-0.001626634;0.003160615,57;53;52;48;47;29;32;28,11.948;11.88;11.772;11.3;11.2;4.9;4.864;4.8
20240203135047,0;0;0;0;0;0,0.03427546;0.19036;-1.130937;0.004694596;-0.06145189;0.0123645,57;53;52;48;47;29;32;28,11.972;11.924;11.852;11.3;11.3;4.8;4.875;4.8
20240203135048,0;0;0;0;0;0,0.1758147;-0.3868343;-0.2855977;0.03844217;-0.3483063;0.06451984,57;53;52;48;47;29;32;28,11.952;11.904;11.776;11.3;11.2;4.9;4.855;4.9
20240203135048,0;0;0;0;0;0,0.1758147;-0.3868343;-0.2855977;0.03844217;-0.3483063;0.06451984,57;53;52;48;47;29;32;28,11.952;11.904;11.776;11.3;11.2;4.9;4.855;4.9
20240203135049,0;0;0;0;0;0,0.2336479;-0.6595246;0.1113181;0.05531596;-0.4664228;0.08752955,57;53;52;48;47;29;32;28,11.952;11.904;11.776;11.3;11.2;4.9;4.855;4.9
20240203135049,0;0;0;0;0;0,0.2336479;-0.6595246;0.1113181;0.05531596;-0.4664228;0.08752955,57;53;52;48;47;29;32;28,11.952;11.904;11.776;11.3;11.2;4.9;4.855;4.9
20240203135050,0;0;0;0;0;0,0.1986436;-0.592867;0.01284659;0.05684994;-0.3958597;0.07985965,57;53;52;48;47;29;32;28,11.948;11.912;11.816;11.3;11.3;4.9;4.882;4.8
